Java HotSpot(TM) 64-Bit Server VM (25.231-b11) for windows-amd64 JRE (1.8.0_231-b11), built on Oct  5 2019 03:11:30 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8086332k(4446812k free), swap 16212796k(12112892k free)
CommandLine flags: -XX:InitialHeapSize=129381312 -XX:MaxHeapSize=4284481536 -XX:MaxNewSize=348966912 -XX:MaxTenuringThreshold=6 -XX:OldPLABSize=16 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:-UseLargePagesIndividualAllocation -XX:+UseParNewGC 
2020-10-27T01:40:52.244+0800: 0.840: [GC (Allocation Failure) 2020-10-27T01:40:52.244+0800: 0.841: [ParNew: 33856K->3488K(38080K), 0.0042297 secs] 33856K->3488K(122752K), 0.0045195 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:40:53.494+0800: 2.085: [CMS-concurrent-preclean: 0.001/0.001 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:40:53.494+0800: 2.085: [CMS-concurrent-abortable-preclean-start]
2020-10-27T01:40:53.572+0800: 2.161: [CMS-concurrent-abortable-preclean: 0.018/0.076 secs] [Times: user=0.28 sys=0.02, real=0.08 secs] 
2020-10-27T01:40:53.572+0800: 2.170: [GC (CMS Final Remark) [YG occupancy: 28631 K (38080 K)]2020-10-27T01:40:53.572+0800: 2.170: [Rescan (parallel) , 0.0039652 secs]2020-10-27T01:40:53.572+0800: 2.174: [weak refs processing, 0.0000373 secs]2020-10-27T01:40:53.572+0800: 2.174: [class unloading, 0.0048268 secs]2020-10-27T01:40:53.588+0800: 2.179: [scrub symbol table, 0.0072234 secs]2020-10-27T01:40:53.588+0800: 2.186: [scrub string table, 0.0005631 secs][1 CMS-remark: 4859K(84672K)] 33490K(122752K), 0.0172935 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2020-10-27T01:40:53.588+0800: 2.190: [CMS-concurrent-sweep-start]
2020-10-27T01:40:53.604+0800: 2.193: [CMS-concurrent-sweep: 0.003/0.003 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2020-10-27T01:40:53.604+0800: 2.193: [CMS-concurrent-reset-start]
2020-10-27T01:40:53.604+0800: 2.200: [CMS-concurrent-reset: 0.007/0.007 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:40:53.744+0800: 2.333: [GC (Allocation Failure) 2020-10-27T01:40:53.744+0800: 2.334: [ParNew: 36432K->1933K(38080K), 0.0033445 secs] 41181K->7212K(122752K), 0.0035605 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:40:54.104+0800: 2.704: [GC (Allocation Failure) 2020-10-27T01:40:54.104+0800: 2.704: [ParNew: 35789K->4004K(38080K), 0.0043834 secs] 41068K->9283K(122752K), 0.0044689 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T01:40:54.557+0800: 3.145: [GC (Allocation Failure) 2020-10-27T01:40:54.557+0800: 3.145: [ParNew: 37860K->2913K(38080K), 0.0086299 secs] 43139K->10678K(122752K), 0.0087410 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:40:54.775+0800: 3.376: [GC (Allocation Failure) 2020-10-27T01:40:54.775+0800: 3.376: [ParNew: 36769K->2572K(38080K), 0.0035941 secs] 44534K->10337K(122752K), 0.0036799 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2020-10-27T01:40:55.469+0800: 4.055: [GC (Allocation Failure) 2020-10-27T01:40:55.469+0800: 4.056: [ParNew: 36428K->3793K(38080K), 0.0068510 secs] 44193K->12324K(122752K), 0.0069442 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2020-10-27T01:40:55.789+0800: 4.377: [GC (Allocation Failure) 2020-10-27T01:40:55.789+0800: 4.377: [ParNew: 37649K->4224K(38080K), 0.0091727 secs] 46180K->16620K(122752K), 0.0092546 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:40:56.066+0800: 4.653: [GC (Allocation Failure) 2020-10-27T01:40:56.066+0800: 4.653: [ParNew: 38080K->3892K(38080K), 0.0091735 secs] 50476K->20324K(122752K), 0.0092706 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T01:40:56.262+0800: 4.849: [GC (Allocation Failure) 2020-10-27T01:40:56.262+0800: 4.849: [ParNew: 37748K->2209K(38080K), 0.0030869 secs] 54180K->18641K(122752K), 0.0031824 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:40:56.460+0800: 5.047: [GC (Allocation Failure) 2020-10-27T01:40:56.460+0800: 5.047: [ParNew: 36065K->4011K(38080K), 0.0046120 secs] 52497K->20443K(122752K), 0.0047052 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:40:56.659+0800: 5.246: [GC (Allocation Failure) 2020-10-27T01:40:56.660+0800: 5.246: [ParNew: 37867K->3160K(38080K), 0.0071931 secs] 54299K->21240K(122752K), 0.0072763 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T01:40:56.834+0800: 5.421: [GC (Allocation Failure) 2020-10-27T01:40:56.834+0800: 5.421: [ParNew: 37016K->2985K(38080K), 0.0062442 secs] 55096K->22437K(122752K), 0.0063465 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T01:41:04.442+0800: 13.029: [GC (Allocation Failure) 2020-10-27T01:41:04.442+0800: 13.029: [ParNew: 36841K->4224K(38080K), 0.0068402 secs] 56293K->24373K(122752K), 0.0069218 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T01:41:06.014+0800: 14.615: [GC (Allocation Failure) 2020-10-27T01:41:06.014+0800: 14.615: [ParNew: 38080K->3450K(38080K), 0.0094032 secs] 58229K->27665K(122752K), 0.0095172 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2020-10-27T01:41:07.123+0800: 15.723: [GC (Allocation Failure) 2020-10-27T01:41:07.123+0800: 15.724: [ParNew: 37306K->867K(38080K), 0.0024736 secs] 61521K->25082K(122752K), 0.0025919 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2020-10-27T01:41:09.414+0800: 18.001: [GC (Allocation Failure) 2020-10-27T01:41:09.414+0800: 18.001: [ParNew: 34723K->284K(38080K), 0.0022704 secs] 58938K->24499K(122752K), 0.0023853 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:10.909+0800: 19.496: [GC (Allocation Failure) 2020-10-27T01:41:10.909+0800: 19.496: [ParNew: 34140K->334K(38080K), 0.0029978 secs] 58355K->24549K(122752K), 0.0031295 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:12.044+0800: 20.631: [GC (Allocation Failure) 2020-10-27T01:41:12.044+0800: 20.631: [ParNew: 34190K->396K(38080K), 0.0025666 secs] 58405K->24611K(122752K), 0.0026643 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:13.282+0800: 21.869: [GC (Allocation Failure) 2020-10-27T01:41:13.282+0800: 21.869: [ParNew: 34252K->429K(38080K), 0.0027636 secs] 58467K->24644K(122752K), 0.0028678 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:14.584+0800: 23.171: [GC (Allocation Failure) 2020-10-27T01:41:14.584+0800: 23.171: [ParNew: 34285K->230K(38080K), 0.0052083 secs] 58500K->24614K(122752K), 0.0053197 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T01:41:15.297+0800: 23.885: [GC (Allocation Failure) 2020-10-27T01:41:15.297+0800: 23.885: [ParNew: 34086K->110K(38080K), 0.0028829 secs] 58470K->24510K(122752K), 0.0030023 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:15.828+0800: 24.415: [GC (Allocation Failure) 2020-10-27T01:41:15.828+0800: 24.415: [ParNew: 33966K->112K(38080K), 0.0026945 secs] 58366K->24523K(122752K), 0.0027919 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:16.342+0800: 24.936: [GC (Allocation Failure) 2020-10-27T01:41:16.342+0800: 24.936: [ParNew: 33968K->106K(38080K), 0.0025733 secs] 58379K->24526K(122752K), 0.0026696 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:16.841+0800: 25.440: [GC (Allocation Failure) 2020-10-27T01:41:16.841+0800: 25.440: [ParNew: 33962K->59K(38080K), 0.0026668 secs] 58382K->24501K(122752K), 0.0027704 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:17.341+0800: 25.941: [GC (Allocation Failure) 2020-10-27T01:41:17.341+0800: 25.942: [ParNew: 33914K->56K(38080K), 0.0026139 secs] 58356K->24504K(122752K), 0.0027130 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2020-10-27T01:41:17.845+0800: 26.440: [GC (Allocation Failure) 2020-10-27T01:41:17.845+0800: 26.440: [ParNew: 33912K->61K(38080K), 0.0026316 secs] 58360K->24517K(122752K), 0.0027314 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:18.330+0800: 26.921: [GC (Allocation Failure) 2020-10-27T01:41:18.330+0800: 26.921: [ParNew: 33917K->41K(38080K), 0.0025215 secs] 58373K->24499K(122752K), 0.0026119 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:18.833+0800: 27.431: [GC (Allocation Failure) 2020-10-27T01:41:18.833+0800: 27.431: [ParNew: 33897K->30K(38080K), 0.0026869 secs] 58355K->24488K(122752K), 0.0027973 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:19.370+0800: 27.957: [GC (Allocation Failure) 2020-10-27T01:41:19.370+0800: 27.957: [ParNew: 33886K->39K(38080K), 0.0025549 secs] 58344K->24497K(122752K), 0.0026727 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:19.875+0800: 28.463: [GC (Allocation Failure) 2020-10-27T01:41:19.876+0800: 28.463: [ParNew: 33895K->27K(38080K), 0.0025223 secs] 58353K->24485K(122752K), 0.0026469 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:20.428+0800: 29.015: [GC (Allocation Failure) 2020-10-27T01:41:20.428+0800: 29.015: [ParNew: 33883K->33K(38080K), 0.0025725 secs] 58341K->24491K(122752K), 0.0026659 secs] [Times: user=0.06 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:20.968+0800: 29.555: [GC (Allocation Failure) 2020-10-27T01:41:20.969+0800: 29.555: [ParNew: 33889K->38K(38080K), 0.0025047 secs] 58347K->24496K(122752K), 0.0026127 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:21.449+0800: 30.040: [GC (Allocation Failure) 2020-10-27T01:41:21.449+0800: 30.040: [ParNew: 33894K->26K(38080K), 0.0020801 secs] 58352K->24484K(122752K), 0.0021834 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:21.949+0800: 30.542: [GC (Allocation Failure) 2020-10-27T01:41:21.949+0800: 30.542: [ParNew: 33882K->34K(38080K), 0.0022197 secs] 58340K->24493K(122752K), 0.0023335 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:22.465+0800: 31.065: [GC (Allocation Failure) 2020-10-27T01:41:22.465+0800: 31.065: [ParNew: 33885K->32K(38080K), 0.0021924 secs] 58344K->24491K(122752K), 0.0023082 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2020-10-27T01:41:22.949+0800: 31.547: [GC (Allocation Failure) 2020-10-27T01:41:22.949+0800: 31.547: [ParNew: 33888K->31K(38080K), 0.0022014 secs] 58347K->24491K(122752K), 0.0023024 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:23.465+0800: 32.057: [GC (Allocation Failure) 2020-10-27T01:41:23.465+0800: 32.057: [ParNew: 33887K->27K(38080K), 0.0026207 secs] 58347K->24487K(122752K), 0.0027215 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:23.949+0800: 32.541: [GC (Allocation Failure) 2020-10-27T01:41:23.949+0800: 32.541: [ParNew: 33883K->29K(38080K), 0.0022303 secs] 58343K->24489K(122752K), 0.0023328 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:24.465+0800: 33.052: [GC (Allocation Failure) 2020-10-27T01:41:24.465+0800: 33.052: [ParNew: 33883K->34K(38080K), 0.0020446 secs] 58343K->24494K(122752K), 0.0021584 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:25.080+0800: 33.666: [GC (Allocation Failure) 2020-10-27T01:41:25.080+0800: 33.666: [ParNew: 33890K->36K(38080K), 0.0021322 secs] 58350K->24496K(122752K), 0.0022313 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:25.759+0800: 34.345: [GC (Allocation Failure) 2020-10-27T01:41:25.759+0800: 34.345: [ParNew: 33892K->27K(38080K), 0.0021205 secs] 58352K->24487K(122752K), 0.0022325 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:26.243+0800: 34.830: [GC (Allocation Failure) 2020-10-27T01:41:26.243+0800: 34.830: [ParNew: 33883K->53K(38080K), 0.0021467 secs] 58343K->24512K(122752K), 0.0022476 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:26.747+0800: 35.334: [GC (Allocation Failure) 2020-10-27T01:41:26.747+0800: 35.334: [ParNew: 33909K->50K(38080K), 0.0021711 secs] 58368K->24509K(122752K), 0.0022757 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:27.257+0800: 35.844: [GC (Allocation Failure) 2020-10-27T01:41:27.257+0800: 35.845: [ParNew: 33906K->41K(38080K), 0.0020220 secs] 58365K->24502K(122752K), 0.0021297 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:27.930+0800: 36.517: [GC (Allocation Failure) 2020-10-27T01:41:27.930+0800: 36.517: [ParNew: 33897K->45K(38080K), 0.0025409 secs] 58358K->24506K(122752K), 0.0026450 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:28.548+0800: 37.135: [GC (Allocation Failure) 2020-10-27T01:41:28.548+0800: 37.135: [ParNew: 33901K->54K(38080K), 0.0020399 secs] 58362K->24515K(122752K), 0.0021282 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:29.056+0800: 37.644: [GC (Allocation Failure) 2020-10-27T01:41:29.056+0800: 37.644: [ParNew: 33910K->68K(38080K), 0.0019954 secs] 58371K->24529K(122752K), 0.0020762 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:29.587+0800: 38.184: [GC (Allocation Failure) 2020-10-27T01:41:29.587+0800: 38.184: [ParNew: 33924K->41K(38080K), 0.0020868 secs] 58385K->24504K(122752K), 0.0021887 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:30.087+0800: 38.674: [GC (Allocation Failure) 2020-10-27T01:41:30.087+0800: 38.674: [ParNew: 33897K->44K(38080K), 0.0020900 secs] 58360K->24507K(122752K), 0.0021776 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:30.669+0800: 39.256: [GC (Allocation Failure) 2020-10-27T01:41:30.669+0800: 39.256: [ParNew: 33900K->34K(38080K), 0.0021384 secs] 58363K->24497K(122752K), 0.0022529 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:31.170+0800: 39.763: [GC (Allocation Failure) 2020-10-27T01:41:31.170+0800: 39.763: [ParNew: 33890K->46K(38080K), 0.0021242 secs] 58353K->24509K(122752K), 0.0022287 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:31.732+0800: 40.323: [GC (Allocation Failure) 2020-10-27T01:41:31.732+0800: 40.323: [ParNew: 33902K->50K(38080K), 0.0020061 secs] 58365K->24515K(122752K), 0.0021164 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:32.247+0800: 40.833: [GC (Allocation Failure) 2020-10-27T01:41:32.247+0800: 40.833: [ParNew: 33906K->34K(38080K), 0.0020640 secs] 58371K->24498K(122752K), 0.0021754 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:32.815+0800: 41.402: [GC (Allocation Failure) 2020-10-27T01:41:32.815+0800: 41.402: [ParNew: 33890K->39K(38080K), 0.0021111 secs] 58354K->24503K(122752K), 0.0022747 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:33.307+0800: 41.905: [GC (Allocation Failure) 2020-10-27T01:41:33.307+0800: 41.905: [ParNew: 33895K->31K(38080K), 0.0020913 secs] 58359K->24495K(122752K), 0.0022619 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:33.869+0800: 42.459: [GC (Allocation Failure) 2020-10-27T01:41:33.869+0800: 42.459: [ParNew: 33882K->45K(38080K), 0.0020165 secs] 58346K->24509K(122752K), 0.0021024 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:34.354+0800: 42.953: [GC (Allocation Failure) 2020-10-27T01:41:34.354+0800: 42.953: [ParNew: 33901K->36K(38080K), 0.0021454 secs] 58365K->24500K(122752K), 0.0022514 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:34.916+0800: 43.516: [GC (Allocation Failure) 2020-10-27T01:41:34.916+0800: 43.516: [ParNew: 33892K->35K(38080K), 0.0020533 secs] 58356K->24499K(122752K), 0.0021466 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:35.418+0800: 44.005: [GC (Allocation Failure) 2020-10-27T01:41:35.418+0800: 44.005: [ParNew: 33891K->34K(38080K), 0.0020887 secs] 58355K->24498K(122752K), 0.0021822 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:36.011+0800: 44.606: [GC (Allocation Failure) 2020-10-27T01:41:36.011+0800: 44.606: [ParNew: 33890K->39K(38080K), 0.0020229 secs] 58354K->24503K(122752K), 0.0021191 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:36.511+0800: 45.100: [GC (Allocation Failure) 2020-10-27T01:41:36.511+0800: 45.100: [ParNew: 33895K->28K(38080K), 0.0020648 secs] 58359K->24492K(122752K), 0.0021452 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:37.027+0800: 45.617: [GC (Allocation Failure) 2020-10-27T01:41:37.027+0800: 45.617: [ParNew: 33884K->38K(38080K), 0.0022634 secs] 58348K->24502K(122752K), 0.0023952 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:37.558+0800: 46.146: [GC (Allocation Failure) 2020-10-27T01:41:37.558+0800: 46.146: [ParNew: 33894K->50K(38080K), 0.0021061 secs] 58358K->24514K(122752K), 0.0022146 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:38.099+0800: 46.686: [GC (Allocation Failure) 2020-10-27T01:41:38.099+0800: 46.686: [ParNew: 33906K->34K(38080K), 0.0021274 secs] 58370K->24499K(122752K), 0.0022285 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:38.597+0800: 47.184: [GC (Allocation Failure) 2020-10-27T01:41:38.597+0800: 47.184: [ParNew: 33890K->34K(38080K), 0.0021171 secs] 58355K->24499K(122752K), 0.0022066 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:39.133+0800: 47.720: [GC (Allocation Failure) 2020-10-27T01:41:39.133+0800: 47.721: [ParNew: 33890K->30K(38080K), 0.0021441 secs] 58355K->24495K(122752K), 0.0022442 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:39.635+0800: 48.222: [GC (Allocation Failure) 2020-10-27T01:41:39.635+0800: 48.222: [ParNew: 33886K->33K(38080K), 0.0021542 secs] 58351K->24497K(122752K), 0.0022524 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:40.128+0800: 48.725: [GC (Allocation Failure) 2020-10-27T01:41:40.128+0800: 48.725: [ParNew: 33889K->38K(38080K), 0.0020931 secs] 58353K->24503K(122752K), 0.0023563 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:40.698+0800: 49.292: [GC (Allocation Failure) 2020-10-27T01:41:40.698+0800: 49.292: [ParNew: 33894K->30K(38080K), 0.0020855 secs] 58359K->24495K(122752K), 0.0021933 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:41.183+0800: 49.785: [GC (Allocation Failure) 2020-10-27T01:41:41.198+0800: 49.785: [ParNew: 33883K->26K(38080K), 0.0022755 secs] 58347K->24491K(122752K), 0.0024314 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-27T01:41:41.714+0800: 50.307: [GC (Allocation Failure) 2020-10-27T01:41:41.714+0800: 50.307: [ParNew: 33879K->45K(38080K), 0.0021128 secs] 58344K->24509K(122752K), 0.0022079 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:42.198+0800: 50.791: [GC (Allocation Failure) 2020-10-27T01:41:42.198+0800: 50.791: [ParNew: 33901K->30K(38080K), 0.0021390 secs] 58365K->24495K(122752K), 0.0022532 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:42.714+0800: 51.307: [GC (Allocation Failure) 2020-10-27T01:41:42.714+0800: 51.307: [ParNew: 33886K->38K(38080K), 0.0020297 secs] 58351K->24504K(122752K), 0.0021321 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:43.183+0800: 51.779: [GC (Allocation Failure) 2020-10-27T01:41:43.183+0800: 51.779: [ParNew: 33894K->33K(38080K), 0.0019371 secs] 58360K->24499K(122752K), 0.0020613 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:43.729+0800: 52.326: [GC (Allocation Failure) 2020-10-27T01:41:43.729+0800: 52.326: [ParNew: 33889K->31K(38080K), 0.0019515 secs] 58355K->24497K(122752K), 0.0020617 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:44.226+0800: 52.813: [GC (Allocation Failure) 2020-10-27T01:41:44.226+0800: 52.813: [ParNew: 33885K->31K(38080K), 0.0020084 secs] 58351K->24497K(122752K), 0.0021109 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:44.773+0800: 53.360: [GC (Allocation Failure) 2020-10-27T01:41:44.773+0800: 53.360: [ParNew: 33887K->57K(38080K), 0.0018603 secs] 58353K->24522K(122752K), 0.0019484 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:45.269+0800: 53.856: [GC (Allocation Failure) 2020-10-27T01:41:45.269+0800: 53.856: [ParNew: 33908K->48K(38080K), 0.0020659 secs] 58374K->24514K(122752K), 0.0021798 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:45.824+0800: 54.410: [GC (Allocation Failure) 2020-10-27T01:41:45.824+0800: 54.410: [ParNew: 33904K->43K(38080K), 0.0020050 secs] 58370K->24509K(122752K), 0.0020986 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:46.324+0800: 54.910: [GC (Allocation Failure) 2020-10-27T01:41:46.324+0800: 54.910: [ParNew: 33899K->44K(38080K), 0.0019735 secs] 58365K->24510K(122752K), 0.0020687 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:46.903+0800: 55.490: [GC (Allocation Failure) 2020-10-27T01:41:46.903+0800: 55.490: [ParNew: 33900K->33K(38080K), 0.0019787 secs] 58366K->24498K(122752K), 0.0020813 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
