Java HotSpot(TM) 64-Bit Server VM (25.231-b11) for windows-amd64 JRE (1.8.0_231-b11), built on Oct  5 2019 03:11:30 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8086332k(4623716k free), swap 16212796k(12534284k free)
CommandLine flags: -XX:InitialHeapSize=129381312 -XX:MaxHeapSize=1073741824 -XX:MaxNewSize=348966912 -XX:MaxTenuringThreshold=6 -XX:OldPLABSize=16 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:-UseLargePagesIndividualAllocation -XX:+UseParNewGC 
2020-10-27T00:12:44.544+0800: 0.209: [GC (Allocation Failure) 2020-10-27T00:12:44.544+0800: 0.209: [ParNew: 33611K->4217K(38080K), 0.0043846 secs] 33611K->13017K(122752K), 0.0046177 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T00:12:44.782+0800: 0.447: [GC (Allocation Failure) 2020-10-27T00:12:44.782+0800: 0.447: [ParNew: 38074K->4220K(38080K), 0.0108239 secs] 207283K->188781K(223260K), 0.0108950 secs] [Times: user=0.05 sys=0.01, real=0.01 secs] 
2020-10-27T00:12:44.800+0800: 0.465: [GC (Allocation Failure) 2020-10-27T00:12:44.800+0800: 0.465: [ParNew: 37957K->4219K(38080K), 0.0092110 secs] 222518K->201280K(235656K), 0.0092819 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T00:12:44.817+0800: 0.482: [GC (Allocation Failure) 2020-10-27T00:12:44.817+0800: 0.482: [ParNew: 38075K->4212K(38080K), 0.0077016 secs] 235136K->211604K(245984K), 0.0077757 secs] [Times: user=0.05 sys=0.02, real=0.01 secs] 
2020-10-27T00:12:44.831+0800: 0.496: [GC (Allocation Failure) 2020-10-27T00:12:44.831+0800: 0.496: [ParNew: 37738K->4223K(38080K), 0.0092582 secs] 245131K->224327K(258780K), 0.0093276 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T00:12:44.847+0800: 0.512: [GC (Allocation Failure) 2020-10-27T00:12:44.847+0800: 0.512: [ParNew: 38079K->4220K(38080K), 0.0109773 secs] 258183K->239381K(273864K), 0.0110469 secs] [Times: user=0.05 sys=0.02, real=0.01 secs] 
2020-10-27T00:12:44.863+0800: 0.528: [GC (Allocation Failure) 2020-10-27T00:12:44.863+0800: 0.528: [ParNew: 37773K->4202K(38080K), 0.0099668 secs] 272933K->252910K(287484K), 0.0100389 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T00:12:44.880+0800: 0.545: [GC (Allocation Failure) 2020-10-27T00:12:44.880+0800: 0.545: [ParNew: 37963K->4212K(38080K), 0.0094985 secs] 286671K->266571K(301064K), 0.0095699 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2020-10-27T00:12:44.897+0800: 0.562: [GC (Allocation Failure) 2020-10-27T00:12:44.897+0800: 0.562: [ParNew: 37982K->4216K(38080K), 0.0088888 secs] 300341K->278466K(313044K), 0.0089630 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T00:12:44.913+0800: 0.578: [GC (Allocation Failure) 2020-10-27T00:12:44.913+0800: 0.578: [ParNew: 38072K->4222K(38080K), 0.0069904 secs] 312322K->287311K(321784K), 0.0070615 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T00:12:44.927+0800: 0.592: [GC (Allocation Failure) 2020-10-27T00:12:44.927+0800: 0.592: [ParNew: 38061K->4223K(38080K), 0.0082035 secs] 321149K->298756K(333284K), 0.0082762 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T00:12:44.942+0800: 0.607: [GC (Allocation Failure) 2020-10-27T00:12:44.942+0800: 0.607: [ParNew: 38055K->4220K(38080K), 0.0085583 secs] 332588K->310069K(344576K), 0.0086351 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T00:12:44.958+0800: 0.623: [GC (Allocation Failure) 2020-10-27T00:12:44.958+0800: 0.623: [ParNew: 38076K->4221K(38080K), 0.0088789 secs] 343925K->321896K(356404K), 0.0089550 secs] [Times: user=0.05 sys=0.02, real=0.01 secs] 
2020-10-27T00:12:44.974+0800: 0.639: [GC (Allocation Failure) 2020-10-27T00:12:44.974+0800: 0.639: [ParNew: 37933K->4222K(38080K), 0.0081446 secs] 355609K->332444K(366884K), 0.0082153 secs] [Times: user=0.05 sys=0.02, real=0.01 secs] 
2020-10-27T00:12:44.989+0800: 0.654: [GC (Allocation Failure) 2020-10-27T00:12:44.989+0800: 0.654: [ParNew: 37933K->4215K(38080K), 0.0098247 secs] 366155K->345074K(379592K), 0.0098927 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T00:12:45.008+0800: 0.672: [GC (Allocation Failure) 2020-10-27T00:12:45.008+0800: 0.672: [ParNew: 37990K->4222K(38080K), 0.0063953 secs] 378849K->353466K(388040K), 0.0064757 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T00:12:45.021+0800: 0.686: [GC (Allocation Failure) 2020-10-27T00:12:45.021+0800: 0.686: [ParNew: 37866K->4215K(38080K), 0.0091694 secs] 387110K->365537K(400052K), 0.0093006 secs] [Times: user=0.03 sys=0.02, real=0.01 secs] 
2020-10-27T00:12:45.037+0800: 0.702: [GC (Allocation Failure) 2020-10-27T00:12:45.037+0800: 0.702: [ParNew: 38071K->4221K(38080K), 0.0075288 secs] 399393K->374774K(409280K), 0.0076018 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T00:12:45.052+0800: 0.717: [GC (Allocation Failure) 2020-10-27T00:12:45.052+0800: 0.717: [ParNew: 38063K->4221K(38080K), 0.0078646 secs] 408616K->385336K(419808K), 0.0079332 secs] [Times: user=0.05 sys=0.01, real=0.01 secs] 
2020-10-27T00:12:45.067+0800: 0.732: [GC (Allocation Failure) 2020-10-27T00:12:45.067+0800: 0.732: [ParNew: 37710K->4222K(38080K), 0.0103850 secs] 418826K->399421K(434020K), 0.0104598 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T00:12:45.072+0800: 0.750: [GC (Allocation Failure) 2020-10-27T00:12:45.072+0800: 0.750: [ParNew: 37993K->4219K(38080K), 0.0090862 secs] 433192K->410739K(445276K), 0.0091627 secs] [Times: user=0.03 sys=0.02, real=0.02 secs] 
2020-10-27T00:12:45.101+0800: 0.766: [GC (Allocation Failure) 2020-10-27T00:12:45.101+0800: 0.766: [ParNew: 38009K->4222K(38080K), 0.0107194 secs] 444529K->425265K(459836K), 0.0107906 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T00:12:45.112+0800: 0.783: [GC (Allocation Failure) 2020-10-27T00:12:45.112+0800: 0.783: [ParNew: 37714K->4212K(38080K), 0.0093744 secs] 458758K->437378K(471940K), 0.0094418 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2020-10-27T00:12:45.127+0800: 0.800: [GC (Allocation Failure) 2020-10-27T00:12:45.127+0800: 0.800: [ParNew: 38068K->4219K(38080K), 0.0087544 secs] 471234K->449501K(484044K), 0.0088260 secs] [Times: user=0.05 sys=0.01, real=0.02 secs] 
2020-10-27T00:12:45.151+0800: 0.816: [GC (Allocation Failure) 2020-10-27T00:12:45.151+0800: 0.816: [ParNew: 37881K->4213K(38080K), 0.0103235 secs] 483163K->462875K(497396K), 0.0103881 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T00:12:45.169+0800: 0.834: [GC (Allocation Failure) 2020-10-27T00:12:45.169+0800: 0.834: [ParNew: 37593K->4216K(38080K), 0.0078710 secs] 496256K->473523K(508012K), 0.0079422 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T00:12:45.172+0800: 0.849: [GC (Allocation Failure) 2020-10-27T00:12:45.172+0800: 0.849: [ParNew: 37777K->4215K(38080K), 0.0093541 secs] 507084K->486162K(520652K), 0.0094232 secs] [Times: user=0.05 sys=0.02, real=0.02 secs] 
2020-10-27T00:12:45.201+0800: 0.865: [GC (Allocation Failure) 2020-10-27T00:12:45.201+0800: 0.865: [ParNew: 37309K->4223K(38080K), 0.0085482 secs] 519256K->497142K(531768K), 0.0086196 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T00:12:45.216+0800: 0.880: [GC (Allocation Failure) 2020-10-27T00:12:45.216+0800: 0.880: [ParNew: 37830K->4213K(38080K), 0.0101448 secs] 530749K->511312K(545892K), 0.0102237 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T00:12:45.233+0800: 0.898: [GC (Allocation Failure) 2020-10-27T00:12:45.233+0800: 0.898: [ParNew: 38069K->4223K(38080K), 0.0091699 secs] 545168K->522705K(557212K), 0.0092532 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2020-10-27T00:12:45.253+0800: 0.917: [GC (Allocation Failure) 2020-10-27T00:12:45.253+0800: 0.917: [ParNew: 38079K->4216K(38080K), 0.0123672 secs] 556561K->537414K(572060K), 0.0124636 secs] [Times: user=0.02 sys=0.02, real=0.01 secs] 
2020-10-27T00:12:45.275+0800: 0.939: [GC (Allocation Failure) 2020-10-27T00:12:45.275+0800: 0.940: [ParNew: 37955K->4223K(38080K), 0.0107939 secs] 571153K->550594K(585248K), 0.0108746 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T00:12:45.292+0800: 0.961: [GC (Allocation Failure) 2020-10-27T00:12:45.292+0800: 0.961: [ParNew: 37886K->4221K(38080K), 0.0082852 secs] 584258K->560740K(595264K), 0.0083636 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T00:12:45.308+0800: 0.977: [GC (Allocation Failure) 2020-10-27T00:12:45.308+0800: 0.977: [ParNew: 37877K->4216K(38080K), 0.0082856 secs] 594395K->570500K(605148K), 0.0083853 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T00:12:45.324+0800: 0.996: [GC (Allocation Failure) 2020-10-27T00:12:45.324+0800: 0.996: [ParNew: 38071K->4223K(38080K), 0.0096019 secs] 604355K->582254K(616884K), 0.0096962 secs] [Times: user=0.03 sys=0.02, real=0.02 secs] 
2020-10-27T00:12:45.339+0800: 1.016: [GC (Allocation Failure) 2020-10-27T00:12:45.339+0800: 1.016: [ParNew: 38050K->4222K(38080K), 0.0084570 secs] 616081K->592918K(627652K), 0.0085544 secs] [Times: user=0.03 sys=0.02, real=0.02 secs] 
2020-10-27T00:12:45.355+0800: 1.034: [GC (Allocation Failure) 2020-10-27T00:12:45.355+0800: 1.034: [ParNew: 38015K->4219K(38080K), 0.0122227 secs] 626710K->608329K(642988K), 0.0123080 secs] [Times: user=0.03 sys=0.02, real=0.01 secs] 
2020-10-27T00:12:45.386+0800: 1.054: [GC (Allocation Failure) 2020-10-27T00:12:45.386+0800: 1.054: [ParNew: 38075K->4215K(38080K), 0.0085168 secs] 642185K->618975K(653592K), 0.0085874 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T00:12:45.402+0800: 1.070: [GC (Allocation Failure) 2020-10-27T00:12:45.402+0800: 1.070: [ParNew: 38071K->4223K(38080K), 0.0077155 secs] 652831K->628886K(663524K), 0.0077869 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T00:12:45.417+0800: 1.085: [GC (Allocation Failure) 2020-10-27T00:12:45.417+0800: 1.085: [ParNew: 38079K->4221K(38080K), 0.0091921 secs] 662742K->639901K(674608K), 0.0092801 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T00:12:45.433+0800: 1.102: [GC (Allocation Failure) 2020-10-27T00:12:45.433+0800: 1.102: [ParNew: 38077K->4219K(38080K), 0.0096781 secs] 673757K->652176K(686788K), 0.0097516 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T00:12:45.448+0800: 1.118: [GC (Allocation Failure) 2020-10-27T00:12:45.448+0800: 1.118: [ParNew: 38075K->4220K(38080K), 0.0105949 secs] 686032K->665701K(700368K), 0.0106737 secs] [Times: user=0.05 sys=0.01, real=0.02 secs] 
2020-10-27T00:12:45.464+0800: 1.135: [GC (Allocation Failure) 2020-10-27T00:12:45.464+0800: 1.135: [ParNew: 37820K->4222K(38080K), 0.0081823 secs] 699302K->675909K(710592K), 0.0082564 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T00:12:45.480+0800: 1.151: [GC (Allocation Failure) 2020-10-27T00:12:45.480+0800: 1.151: [ParNew: 37878K->4219K(38080K), 0.0077104 secs] 709565K->684654K(719376K), 0.0077822 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T00:12:45.495+0800: 1.165: [GC (Allocation Failure) 2020-10-27T00:12:45.495+0800: 1.165: [ParNew: 37359K->4219K(38080K), 0.0092481 secs] 717794K->696437K(731184K), 0.0093210 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
Heap
 par new generation   total 38080K, used 8902K [0x00000000c0000000, 0x00000000c2950000, 0x00000000d4cc0000)
  eden space 33856K,  13% used [0x00000000c0000000, 0x00000000c04929a0, 0x00000000c2110000)
  from space 4224K,  99% used [0x00000000c2110000, 0x00000000c252ef80, 0x00000000c2530000)
  to   space 4224K,   0% used [0x00000000c2530000, 0x00000000c2530000, 0x00000000c2950000)
 concurrent mark-sweep generation total 693104K, used 692217K [0x00000000d4cc0000, 0x00000000ff19c000, 0x0000000100000000)
 Metaspace       used 2653K, capacity 4486K, committed 4864K, reserved 1056768K
  class space    used 291K, capacity 386K, committed 512K, reserved 1048576K
