Java HotSpot(TM) 64-Bit Server VM (25.231-b11) for windows-amd64 JRE (1.8.0_231-b11), built on Oct  5 2019 03:11:30 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8086332k(4625720k free), swap 16212796k(12532972k free)
CommandLine flags: -XX:InitialHeapSize=129381312 -XX:MaxHeapSize=4284481536 -XX:MaxNewSize=348966912 -XX:MaxTenuringThreshold=6 -XX:OldPLABSize=16 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:-UseLargePagesIndividualAllocation -XX:+UseParNewGC 
2020-10-27T00:12:47.062+0800: 0.163: [GC (Allocation Failure) 2020-10-27T00:12:47.062+0800: 0.163: [ParNew: 33856K->4220K(38080K), 0.0039924 secs] 33856K->12428K(122752K), 0.0042185 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T00:12:47.219+0800: 0.319: [GC (Allocation Failure) 2020-10-27T00:12:47.219+0800: 0.319: [ParNew: 38077K->4219K(38080K), 0.0083364 secs] 129363K->107229K(141568K), 0.0084068 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T00:12:47.234+0800: 0.336: [GC (Allocation Failure) 2020-10-27T00:12:47.234+0800: 0.336: [ParNew: 38075K->4220K(38080K), 0.0082153 secs] 141085K->119297K(153756K), 0.0082834 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T00:12:47.250+0800: 0.351: [GC (Allocation Failure) 2020-10-27T00:12:47.250+0800: 0.351: [ParNew: 37737K->4221K(38080K), 0.0085747 secs] 152814K->131297K(165676K), 0.0086477 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T00:12:47.266+0800: 0.367: [GC (Allocation Failure) 2020-10-27T00:12:47.266+0800: 0.367: [ParNew: 37862K->4223K(38080K), 0.0084281 secs] 164938K->142535K(176844K), 0.0085021 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T00:12:47.281+0800: 0.383: [GC (Allocation Failure) 2020-10-27T00:12:47.281+0800: 0.384: [ParNew: 38035K->4219K(38080K), 0.0075840 secs] 176347K->153207K(187604K), 0.0077215 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T00:12:47.297+0800: 0.399: [GC (Allocation Failure) 2020-10-27T00:12:47.297+0800: 0.399: [ParNew: 38056K->4215K(38080K), 0.0080604 secs] 187044K->164999K(199504K), 0.0081345 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T00:12:47.312+0800: 0.415: [GC (Allocation Failure) 2020-10-27T00:12:47.312+0800: 0.415: [ParNew: 37980K->4209K(38080K), 0.0076909 secs] 198764K->175070K(209484K), 0.0077636 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T00:12:47.328+0800: 0.431: [GC (Allocation Failure) 2020-10-27T00:12:47.328+0800: 0.431: [ParNew: 37979K->4213K(38080K), 0.0078480 secs] 208840K->186469K(220956K), 0.0079198 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T00:12:47.344+0800: 0.446: [GC (Allocation Failure) 2020-10-27T00:12:47.344+0800: 0.446: [ParNew: 37883K->4222K(38080K), 0.0090566 secs] 220139K->199409K(233780K), 0.0091354 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-27T00:12:47.359+0800: 0.463: [GC (Allocation Failure) 2020-10-27T00:12:47.359+0800: 0.463: [ParNew: 38050K->4223K(38080K), 0.0082676 secs] 233237K->210861K(245208K), 0.0083567 secs] [Times: user=0.05 sys=0.02, real=0.02 secs] 
2020-10-27T00:12:47.375+0800: 0.478: [GC (Allocation Failure) 2020-10-27T00:12:47.375+0800: 0.478: [ParNew: 38070K->4223K(38080K), 0.0090014 secs] 244708K->223729K(258120K), 0.0090729 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2020-10-27T00:12:47.391+0800: 0.495: [GC (Allocation Failure) 2020-10-27T00:12:47.391+0800: 0.495: [ParNew: 38079K->4218K(38080K), 0.0080276 secs] 257585K->234521K(268920K), 0.0080969 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T00:12:47.406+0800: 0.510: [GC (Allocation Failure) 2020-10-27T00:12:47.406+0800: 0.510: [ParNew: 38058K->4221K(38080K), 0.0092681 secs] 268361K->247578K(281980K), 0.0093433 secs] [Times: user=0.05 sys=0.01, real=0.02 secs] 
2020-10-27T00:12:47.422+0800: 0.527: [GC (Allocation Failure) 2020-10-27T00:12:47.422+0800: 0.527: [ParNew: 37993K->4216K(38080K), 0.0073414 secs] 281349K->257531K(291940K), 0.0074136 secs] [Times: user=0.05 sys=0.02, real=0.02 secs] 
2020-10-27T00:12:47.437+0800: 0.542: [GC (Allocation Failure) 2020-10-27T00:12:47.437+0800: 0.542: [ParNew: 38072K->4221K(38080K), 0.0086459 secs] 291387K->269081K(303580K), 0.0087198 secs] [Times: user=0.05 sys=0.02, real=0.02 secs] 
2020-10-27T00:12:47.453+0800: 0.558: [GC (Allocation Failure) 2020-10-27T00:12:47.453+0800: 0.558: [ParNew: 37942K->4222K(38080K), 0.0088955 secs] 302803K->281556K(315992K), 0.0089689 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2020-10-27T00:12:47.469+0800: 0.575: [GC (Allocation Failure) 2020-10-27T00:12:47.469+0800: 0.575: [ParNew: 37926K->4220K(38080K), 0.0101270 secs] 315259K->295988K(330324K), 0.0102036 secs] [Times: user=0.05 sys=0.02, real=0.01 secs] 
2020-10-27T00:12:47.484+0800: 0.593: [GC (Allocation Failure) 2020-10-27T00:12:47.484+0800: 0.593: [ParNew: 38066K->4214K(38080K), 0.0072632 secs] 329834K->305343K(339836K), 0.0073372 secs] [Times: user=0.05 sys=0.02, real=0.02 secs] 
2020-10-27T00:12:47.500+0800: 0.606: [GC (Allocation Failure) 2020-10-27T00:12:47.500+0800: 0.606: [ParNew: 37693K->4217K(38080K), 0.0093870 secs] 338822K->318094K(352596K), 0.0094600 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2020-10-27T00:12:47.516+0800: 0.622: [GC (Allocation Failure) 2020-10-27T00:12:47.516+0800: 0.622: [ParNew: 38073K->4221K(38080K), 0.0075573 secs] 351950K->328102K(362496K), 0.0076297 secs] [Times: user=0.05 sys=0.02, real=0.01 secs] 
2020-10-27T00:12:47.531+0800: 0.637: [GC (Allocation Failure) 2020-10-27T00:12:47.531+0800: 0.638: [ParNew: 37692K->4221K(38080K), 0.0081461 secs] 361573K->339192K(373596K), 0.0082224 secs] [Times: user=0.05 sys=0.01, real=0.02 secs] 
2020-10-27T00:12:47.547+0800: 0.652: [GC (Allocation Failure) 2020-10-27T00:12:47.547+0800: 0.652: [ParNew: 37929K->4214K(38080K), 0.0092156 secs] 372901K->351568K(386084K), 0.0092925 secs] [Times: user=0.05 sys=0.02, real=0.02 secs] 
2020-10-27T00:12:47.562+0800: 0.668: [GC (Allocation Failure) 2020-10-27T00:12:47.562+0800: 0.668: [ParNew: 38070K->4221K(38080K), 0.0088964 secs] 385424K->363622K(398164K), 0.0089702 secs] [Times: user=0.05 sys=0.01, real=0.02 secs] 
2020-10-27T00:12:47.578+0800: 0.684: [GC (Allocation Failure) 2020-10-27T00:12:47.578+0800: 0.684: [ParNew: 38077K->4220K(38080K), 0.0073835 secs] 397478K->372956K(407388K), 0.0074547 secs] [Times: user=0.05 sys=0.02, real=0.02 secs] 
2020-10-27T00:12:47.594+0800: 0.698: [GC (Allocation Failure) 2020-10-27T00:12:47.594+0800: 0.698: [ParNew: 37787K->4222K(38080K), 0.0087365 secs] 406523K->384564K(419008K), 0.0088054 secs] [Times: user=0.05 sys=0.02, real=0.01 secs] 
2020-10-27T00:12:47.609+0800: 0.713: [GC (Allocation Failure) 2020-10-27T00:12:47.609+0800: 0.713: [ParNew: 37665K->4221K(38080K), 0.0085187 secs] 418007K->396685K(431132K), 0.0085878 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2020-10-27T00:12:47.625+0800: 0.729: [GC (Allocation Failure) 2020-10-27T00:12:47.625+0800: 0.729: [ParNew: 38077K->4221K(38080K), 0.0111018 secs] 430541K->412221K(446680K), 0.0111719 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2020-10-27T00:12:47.641+0800: 0.746: [GC (Allocation Failure) 2020-10-27T00:12:47.641+0800: 0.746: [ParNew: 37490K->4202K(38080K), 0.0094130 secs] 445490K->424567K(458984K), 0.0094812 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T00:12:47.656+0800: 0.763: [GC (Allocation Failure) 2020-10-27T00:12:47.656+0800: 0.763: [ParNew: 37973K->4223K(38080K), 0.0100656 secs] 458338K->438270K(472676K), 0.0101371 secs] [Times: user=0.03 sys=0.02, real=0.02 secs] 
2020-10-27T00:12:47.672+0800: 0.781: [GC (Allocation Failure) 2020-10-27T00:12:47.672+0800: 0.781: [ParNew: 38079K->4214K(38080K), 0.0081906 secs] 472126K->449021K(483444K), 0.0082686 secs] [Times: user=0.02 sys=0.02, real=0.02 secs] 
2020-10-27T00:12:47.687+0800: 0.797: [GC (Allocation Failure) 2020-10-27T00:12:47.687+0800: 0.797: [ParNew: 38070K->4223K(38080K), 0.0107233 secs] 482877K->462306K(496752K), 0.0107940 secs] [Times: user=0.02 sys=0.03, real=0.02 secs] 
2020-10-27T00:12:47.719+0800: 0.816: [GC (Allocation Failure) 2020-10-27T00:12:47.719+0800: 0.816: [ParNew: 38044K->4216K(38080K), 0.0080077 secs] 496126K->472366K(506812K), 0.0080821 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T00:12:47.734+0800: 0.831: [GC (Allocation Failure) 2020-10-27T00:12:47.734+0800: 0.831: [ParNew: 38072K->4216K(38080K), 0.0088846 secs] 506222K->484909K(519420K), 0.0089517 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T00:12:47.750+0800: 0.847: [GC (Allocation Failure) 2020-10-27T00:12:47.750+0800: 0.847: [ParNew: 37887K->4222K(38080K), 0.0096490 secs] 518580K->497693K(532276K), 0.0097204 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T00:12:47.766+0800: 0.865: [GC (Allocation Failure) 2020-10-27T00:12:47.766+0800: 0.865: [ParNew: 38078K->4222K(38080K), 0.0081460 secs] 531549K->508357K(542968K), 0.0082161 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T00:12:47.781+0800: 0.881: [GC (Allocation Failure) 2020-10-27T00:12:47.781+0800: 0.881: [ParNew: 37840K->4223K(38080K), 0.0100918 secs] 541976K->522300K(556888K), 0.0101759 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T00:12:47.797+0800: 0.906: [GC (Allocation Failure) 2020-10-27T00:12:47.797+0800: 0.906: [ParNew: 38079K->4223K(38080K), 0.0079456 secs] 556156K->531019K(565716K), 0.0080369 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2020-10-27T00:12:47.828+0800: 0.925: [GC (Allocation Failure) 2020-10-27T00:12:47.828+0800: 0.925: [ParNew: 38079K->4216K(38080K), 0.0088139 secs] 564875K->542422K(577036K), 0.0089229 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T00:12:47.844+0800: 0.943: [GC (Allocation Failure) 2020-10-27T00:12:47.844+0800: 0.943: [ParNew: 37972K->4222K(38080K), 0.0106823 secs] 576177K->556094K(590780K), 0.0107766 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T00:12:47.859+0800: 0.961: [GC (Allocation Failure) 2020-10-27T00:12:47.859+0800: 0.961: [ParNew: 38078K->4219K(38080K), 0.0092892 secs] 589950K->567450K(602092K), 0.0093828 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
2020-10-27T00:12:47.875+0800: 0.981: [GC (Allocation Failure) 2020-10-27T00:12:47.875+0800: 0.981: [ParNew: 37884K->4219K(38080K), 0.0082296 secs] 601115K->577675K(612304K), 0.0083234 secs] [Times: user=0.03 sys=0.02, real=0.02 secs] 
2020-10-27T00:12:47.891+0800: 0.998: [GC (Allocation Failure) 2020-10-27T00:12:47.891+0800: 0.998: [ParNew: 37976K->4222K(38080K), 0.0085304 secs] 611432K->587486K(622124K), 0.0086362 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2020-10-27T00:12:47.906+0800: 1.017: [GC (Allocation Failure) 2020-10-27T00:12:47.906+0800: 1.017: [ParNew: 38078K->4202K(38080K), 0.0083270 secs] 621342K->597283K(631996K), 0.0084012 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2020-10-27T00:12:47.922+0800: 1.032: [GC (Allocation Failure) 2020-10-27T00:12:47.922+0800: 1.032: [ParNew: 37443K->4212K(38080K), 0.0087000 secs] 630524K->607550K(642208K), 0.0087720 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2020-10-27T00:12:47.937+0800: 1.048: [GC (Allocation Failure) 2020-10-27T00:12:47.937+0800: 1.048: [ParNew: 38068K->4223K(38080K), 0.0101370 secs] 641406K->620735K(655388K), 0.0102149 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2020-10-27T00:12:47.969+0800: 1.066: [GC (Allocation Failure) 2020-10-27T00:12:47.969+0800: 1.066: [ParNew: 38079K->4220K(38080K), 0.0106802 secs] 654591K->633482K(668220K), 0.0107603 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T00:12:47.984+0800: 1.084: [GC (Allocation Failure) 2020-10-27T00:12:47.984+0800: 1.084: [ParNew: 38063K->4223K(38080K), 0.0089354 secs] 667326K->644819K(679520K), 0.0090073 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T00:12:48.000+0800: 1.101: [GC (Allocation Failure) 2020-10-27T00:12:48.000+0800: 1.101: [ParNew: 38079K->4220K(38080K), 0.0087493 secs] 678675K->656147K(690812K), 0.0088241 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T00:12:48.015+0800: 1.117: [GC (Allocation Failure) 2020-10-27T00:12:48.015+0800: 1.117: [ParNew: 37512K->4218K(38080K), 0.0066494 secs] 689439K->662832K(697416K), 0.0067225 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
Heap
 par new generation   total 38080K, used 18650K [0x00000006c0a00000, 0x00000006c3350000, 0x00000006d56c0000)
  eden space 33856K,  42% used [0x00000006c0a00000, 0x00000006c1817ff8, 0x00000006c2b10000)
  from space 4224K,  99% used [0x00000006c2f30000, 0x00000006c334e830, 0x00000006c3350000)
  to   space 4224K,   0% used [0x00000006c2b10000, 0x00000006c2b10000, 0x00000006c2f30000)
 concurrent mark-sweep generation total 659336K, used 658614K [0x00000006d56c0000, 0x00000006fdaa2000, 0x00000007c0000000)
 Metaspace       used 2653K, capacity 4486K, committed 4864K, reserved 1056768K
  class space    used 291K, capacity 386K, committed 512K, reserved 1048576K
